Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),HeuristicDistance (km),PeriodName,ChosenTime,Weekday,Weekend,PublicHoliday,PeakHour,OriginalHeuristicDistance
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.129564452265728,0.0206676570829328,0.0183724909021946,0.5,0.279575265459088,0.274572404284228,Morning Peak,08:30:00,0,1,0,1,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.13933128024637,0.0708293279734336,0.0631337556450613,0.0,0.21261711430356,0.274572404284228,Non-peak Late Morning,10:45:00,0,1,0,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.123493180818302,0.0206676570829328,0.0183724909021946,0.5,0.276452217364147,0.274572404284228,Lunch Peak,13:00:00,0,1,0,1,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.128112626484822,0.0235078213755134,0.0209266651179274,0.5,0.270206121174266,0.274572404284228,Non-peak Afternoon,15:30:00,0,1,0,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.134491860976683,0.0206676570829328,0.0183724909021946,0.5,0.276452217364147,0.274572404284228,Evening Peak,18:30:00,0,1,0,1,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.122393312802464,0.042296600541816,0.0378996852903606,0.0,0.246096189881324,0.274572404284228,Non-peak Evening,21:00:00,0,1,0,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.140519137703476,0.0492877741850913,0.0447525452990676,0.5,0.242723297938788,0.274572404284228,Late Night Non-peak,23:30:00,0,1,0,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.13933128024637,0.0708293279734336,0.0631337556450613,0.0,0.21261711430356,0.274572404284228,Non-peak Morning,06:30:00,0,0,1,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.129564452265728,0.0206676570829328,0.0183724909021946,0.5,0.279575265459088,0.274572404284228,Morning Peak,08:30:00,0,0,1,1,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.13933128024637,0.0708293279734336,0.0631337556450613,0.0,0.21261711430356,0.274572404284228,Non-peak Late Morning,10:45:00,0,0,1,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.123493180818302,0.0206676570829328,0.0183724909021946,0.5,0.276452217364147,0.274572404284228,Lunch Peak,13:00:00,0,0,1,1,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.128112626484822,0.0235078213755134,0.0209266651179274,0.5,0.270206121174266,0.274572404284228,Non-peak Afternoon,15:30:00,0,0,1,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.134491860976683,0.0206676570829328,0.0183724909021946,0.5,0.276452217364147,0.274572404284228,Evening Peak,18:30:00,0,0,1,1,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.122393312802464,0.042296600541816,0.0378996852903606,0.0,0.246096189881324,0.274572404284228,Non-peak Evening,21:00:00,0,0,1,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0.140519137703476,0.0492877741850913,0.0447525452990676,0.5,0.242723297938788,0.274572404284228,Late Night Non-peak,23:30:00,0,0,1,0,4.73352161414705
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Non-peak Morning,06:30:00,1,0,0,0,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Morning Peak,08:30:00,1,0,0,1,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Non-peak Late Morning,10:45:00,1,0,0,0,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Lunch Peak,13:00:00,1,0,0,1,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Non-peak Afternoon,15:30:00,1,0,0,0,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Evening Peak,18:30:00,1,0,0,1,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Non-peak Evening,21:00:00,1,0,0,0,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Late Night Non-peak,23:30:00,1,0,0,0,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Non-peak Morning,06:30:00,0,1,0,0,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Morning Peak,08:30:00,0,1,0,1,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Non-peak Late Morning,10:45:00,0,1,0,0,5.25512739296439
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0.0885173779146502,0.0556235252993096,0.0499854572133779,0.0,0.111805121798876,0.305440245475633,Lunch Peak,13:00:00,0,1,0,1,5.25512739296439
