Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN,1.430583,103.840191,25.3,25.3,1685.55,0,0.0,1.94593553773143,Public Holiday,Evening Peak,0,18:30:00,0,0,1
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN,1.430583,103.840191,25.3,25.3,1685.55,0,0.0,1.94593553773143,Public Holiday,Non-peak Evening,0,21:00:00,0,0,1
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN,1.430583,103.840191,25.3,25.3,1685.55,0,0.0,1.94593553773143,Public Holiday,Late Night Non-peak,0,23:30:00,0,0,1
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,39.75,8.15,542.88,1,27.45,2.54028223912759,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekday,Morning Peak,0,08:30:00,1,0,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekday,Lunch Peak,0,13:00:00,1,0,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekday,Evening Peak,0,18:30:00,1,0,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,39.75,8.15,542.88,1,27.45,2.54028223912759,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekend,Morning Peak,0,08:30:00,0,1,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekend,Lunch Peak,0,13:00:00,0,1,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekend,Evening Peak,0,18:30:00,0,1,0
Simpang,Simpang North,1.447161405,103.8457976,NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG,1.448117,103.822965,23.48,8.15,542.88,0,15.33,2.54028223912759,Weekend,Non-peak Evening,0,21:00:00,0,1,0
